Nome,Sobrenome,Altura em metros
CARLOS,AGUDELO,1.3
LUCIA,ECHEVERRY,1.15
FRANCISCO,PUERTA,1.08
MARIA ISABEL,ARANGO,1.67
JAVIER,POSADA,1.79
RAFAEL,ATEHORTUA,1.24
ANGELES,AYALA,1.85
JOSE,BARRIENTOS,1.16
MARIA CARMEN,GONZÁLEZ,1.21
FRANCISCO JAVIER,BETANCUR,1.41
RAUL,PINEDA,1.29
ALBERTO,BUSTAMANTE,1.78
ANDRES,TABORDA,1.43
JOSEFA,CARDENAS,1.51
MARIA TERESA,CHAVERRA,1.28
MARIA,CARDONA,1.17
ISABEL,LOAIZA,1.76
JUAN CARLOS,HINCAPIE,0.91
CONCEPCION,GONZALEZ,1.33
JUAN JOSE,LONDOÑO,1.76
ANTONIO,VASQUEZ,1.33
RAQUEL,LOPERA,2.3
CARMEN,ZAPATA,1.4
ENCARNACION,LOPEZ,1.9
PILAR,MIRA,1.47
MERCEDES,LUJAN,1.35
MIGUEL ANGEL,SANCHEZ,1.66
CRISTINA,MADRIGAL,0.98
MARIA PILAR,HOYOS,1.23
ANA MARIA,MARTINEZ,1.53
LUIS,VELEZ,1.55
MARIA LLANOS,MENDOZA,1.65
MARIA JOSEFA,MONTOYA,1.04
RAMON,GARCIA,1.3
DAVID,MARTINEZ,1.15
MANUELA,LOPEZ,1.08
ANA,SANCHEZ,1.67
FERNANDO,GONZALEZ,1.79
JUAN ANTONIO,GOMEZ,1.24
ANGEL,FERNANDEZ,1.85
JOAQUIN,MORENO,1.16
JOSE LUIS,JIMENEZ,1.21
ALEJANDRO,PEREZ,1.41
MIGUEL,RODRIGUEZ,1.29
MARIA JOSE,NAVARRO,1.78
SERGIO,RUIZ,1.43
LAURA,DIAZ,1.51
DOLORES,SERRANO,1.28
FRANCISCA,HERNANDEZ,1.17
PABLO,MUÑOZ,1.76
ELENA,SAEZ,0.91
JOSE ANTONIO,ROMERO,1.33
MARIA ANGELES,RUBIO,1.76
ANTONIA,ALFARO,1.33
MARTA,MOLINA,2.3
JUANA,LOZANO,1.4
ROSA MARIA,CASTILLO,1.9
JOSE MANUEL,PICAZO,1.47
PEDRO,ORTEGA,1.35
DANIEL,MORCILLO,1.66
JOSE MARIA,CANO,0.98
JESUS,MARIN,1.23
JUAN,CUENCA,1.53
ROSARIO,GARRIDO,1.55
MARIA DOLORES,TORRES,1.65
MANUEL,CORCOLES,1.04
